# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_historictimezone.txt
# zone
# tzid;format;offset;save;mode;untilYear;untilMonth;untilDay;untilDOW;untilTime;timeType

Africa/Juba;LMT;7588;0;1;1931;1;1;-1;0;0
Africa/Kampala;EAT;10800;0;1;3999;1;1;-1;0;0
Africa/Kampala;+0245;9900;0;1;1960;1;1;-1;0;0
Africa/Kampala;+0230;9000;0;1;1940;1;1;-1;0;0
Africa/Kampala;EAT;10800;0;1;1930;1;1;-1;0;0
Africa/Kampala;LMT;8836;0;1;1928;7;1;-1;0;0
Africa/Khartoum;CAT;7200;0;1;3999;1;1;-1;0;0
Africa/Khartoum;EAT;10800;0;1;2017;11;1;-1;0;0
Africa/Khartoum;CA%sT;7200;Sudan;1;2000;1;15;-1;43200;0
Africa/Khartoum;LMT;7808;0;1;1931;1;1;-1;0;0
Africa/Kigali;CAT;7200;0;1;3999;1;1;-1;0;0
Africa/Kigali;LMT;7820;0;1;1903;3;1;-1;0;0
Africa/Kinshasa;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Kinshasa;LMT;816;0;1;1919;9;1;-1;0;0
Africa/Lagos;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Lagos;LMT;816;0;1;1919;9;1;-1;0;0
Africa/Libreville;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Libreville;LMT;816;0;1;1919;9;1;-1;0;0
Africa/Lome;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Lome;LMT;-968;0;1;1912;1;1;-1;0;0
Africa/Luanda;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Luanda;LMT;816;0;1;1919;9;1;-1;0;0
Africa/Lubumbashi;CAT;7200;0;1;3999;1;1;-1;0;0
Africa/Lubumbashi;LMT;7820;0;1;1903;3;1;-1;0;0
Africa/Lusaka;CAT;7200;0;1;3999;1;1;-1;0;0
Africa/Lusaka;LMT;7820;0;1;1903;3;1;-1;0;0
Africa/Malabo;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Malabo;LMT;816;0;1;1919;9;1;-1;0;0
Africa/Maputo;CAT;7200;0;1;3999;1;1;-1;0;0
Africa/Maputo;LMT;7820;0;1;1903;3;1;-1;0;0
Africa/Maseru;SAST;7200;SA;1;3999;1;1;-1;0;0
Africa/Maseru;SAST;5400;0;1;1903;3;1;-1;0;0
Africa/Maseru;LMT;6720;0;1;1892;2;8;-1;0;0
Africa/Mbabane;SAST;7200;SA;1;3999;1;1;-1;0;0
Africa/Mbabane;SAST;5400;0;1;1903;3;1;-1;0;0
Africa/Mbabane;LMT;6720;0;1;1892;2;8;-1;0;0
Africa/Mogadishu;EAT;10800;0;1;3999;1;1;-1;0;0
Africa/Mogadishu;+0245;9900;0;1;1960;1;1;-1;0;0
Africa/Mogadishu;+0230;9000;0;1;1940;1;1;-1;0;0
Africa/Mogadishu;EAT;10800;0;1;1930;1;1;-1;0;0
Africa/Mogadishu;LMT;8836;0;1;1928;7;1;-1;0;0
Africa/Monrovia;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Monrovia;MMT;-2670;0;1;1972;1;7;-1;0;0
Africa/Monrovia;MMT;-2588;0;1;1919;3;1;-1;0;0
Africa/Monrovia;LMT;-2588;0;1;1882;1;1;-1;0;0
Africa/Nairobi;EAT;10800;0;1;3999;1;1;-1;0;0
Africa/Nairobi;+0245;9900;0;1;1960;1;1;-1;0;0
Africa/Nairobi;+0230;9000;0;1;1940;1;1;-1;0;0
Africa/Nairobi;EAT;10800;0;1;1930;1;1;-1;0;0
Africa/Nairobi;LMT;8836;0;1;1928;7;1;-1;0;0
Africa/Ndjamena;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Ndjamena;WAST;3600;3600;1;1980;3;8;-1;0;0
Africa/Ndjamena;WAT;3600;0;1;1979;10;14;-1;0;0
Africa/Ndjamena;LMT;3612;0;1;1912;1;1;-1;0;0
Africa/Niamey;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Niamey;LMT;816;0;1;1919;9;1;-1;0;0
Africa/Nouakchott;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Nouakchott;LMT;-968;0;1;1912;1;1;-1;0;0
Africa/Ouagadougou;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Ouagadougou;LMT;-968;0;1;1912;1;1;-1;0;0
Africa/Porto-Novo;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Porto-Novo;LMT;816;0;1;1919;9;1;-1;0;0
